product_name,creator_name,category,subcategory,price_usd,original_price,currency,average_rating,total_reviews,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,mixed_review_percent,sales_count,estimated_revenue,product_url
Armorsmith Designer,The Armored Garage,design,design,40.0,$40,USD,4.4,501,10,2,3,5,80,2.0,28133,1125320.0,https://thearmoredgarage.gumroad.com/l/LMdGL?layout=discover&recommended_by=discover
"Iconly Pro Lifetime Access 40,000+ icons",Iconly Pro,design,design,189.0,$189,USD,5.0,2,0,0,0,0,100,0.0,167,31563.0,https://iconly.gumroad.com/l/iconlyprolifetime?layout=discover&recommended_by=discover
Mosh-Pro,Airtight Interactive,design,design,49.0,$49,USD,4.9,569,0,0,1,3,96,0.7,12623,618527.0,https://airtight.gumroad.com/l/kqeYS?layout=discover&recommended_by=discover
Logo Package Express 3.0,Logo Package,design,design,149.0,$149,USD,4.9,107,2,0,0,4,94,3.74,5806,865094.0,https://logopackage.gumroad.com/l/logoPackageExpress3?layout=discover&recommended_by=discover
No Code Flow [Webflow Components],No Code Flow,design,design,150.0,$150 a year,USD,5.0,13,0,0,0,0,100,0.0,,,https://nocodeflow.gumroad.com/l/dynamic-map-for-webflow?layout=discover&recommended_by=discover
TMS Research Report,The Master Slides,design,design,0.0,$0+ a month,USD,4.9,33,0,0,3,0,97,9.09,,,https://themasterslides.gumroad.com/l/researchreport?layout=discover&recommended_by=discover
"Iconly Pro Subscription 40,000+ icons",Iconly Pro,design,design,12.0,$12 a month,USD,3.9,7,29,0,0,0,71,0.0,,,https://iconly.gumroad.com/l/iconlypro?layout=discover&recommended_by=discover
Mosh-Pro Yearly Subscription,Airtight Interactive,design,design,24.0,$24 a year,USD,4.9,75,1,0,0,0,99,0.0,,,https://airtight.gumroad.com/l/ZDXrb?layout=discover&recommended_by=discover
Unknown,Surviving Architecture,design,design,12.69,£9.99,GBP,5.0,2,0,0,0,0,100,0.0,303,3845.07,https://survivingarchitectur.gumroad.com/l/nmytq?layout=discover&recommended_by=search
Unknown,Brandon LaChappelle,design,design,4.0,$4,USD,4.4,7,14,0,0,0,86,0.0,,,https://brandonlachappelle.gumroad.com/l/foundations?layout=discover&recommended_by=search
Unknown,Email Love,design,design,19.0,$19 a month,USD,5.0,6,0,0,0,0,100,0.0,,,https://emaillove.gumroad.com/l/email-love-figma-plugin?layout=discover&recommended_by=search
Unknown,Lokki,design,design,12.0,$12+,USD,4.8,240,3,0,1,2,94,1.25,,,https://bylokki.gumroad.com/l/vision-icons?layout=discover&recommended_by=search
Unknown,Amro,design,design,19.99,$19.99,USD,4.9,17,0,0,0,6,94,35.29,725,14492.75,https://amrofilms.gumroad.com/l/ksnikx?layout=discover&recommended_by=search
Unknown,Rajesh Rajput,design,design,0.0,$0,USD,4.8,13,0,0,8,0,92,61.54,,,https://rajputrajesh-448.gumroad.com/l/Dominique9?layout=discover&recommended_by=search
Unknown,Fay Creates,design,design,6.0,$6+,USD,4.8,11,0,0,0,18,82,163.64,730,4380.0,https://faycreates.gumroad.com/l/VirtualGiftsFourYou?layout=discover&recommended_by=search
Unknown,Lokki,design,design,12.0,$12+,USD,4.9,86,0,0,2,1,97,3.49,,,https://bylokki.gumroad.com/l/dark-vision?layout=discover&recommended_by=search
Unknown,CSS Scan/toast.log - Guilherme Rizzo,design,design,49.0,$49,USD,4.8,205,3,0,0,5,92,2.44,,,https://gvrizzo.gumroad.com/l/cssscan?layout=discover&recommended_by=search
Unknown,Akrivi - Brand Identity Design Automation for Designers,design,design,39.0,$39,USD,4.8,78,1,0,1,8,90,11.54,,,https://akrivi.gumroad.com/l/logo-grid-generator?layout=discover&recommended_by=search
Unknown,The Master Slides,design,design,50.0,$50,USD,4.4,24,12,0,0,13,75,54.17,,,https://themasterslides.gumroad.com/l/adnhe?layout=discover&recommended_by=search
Unknown,Drew Brucker | Midjourney,design,design,120.0,$120,USD,4.9,53,0,2,0,4,94,11.32,952,114240.0,https://dcbruck.gumroad.com/l/Midjourney-Course?layout=discover&recommended_by=search
Unknown,Antlii,design,design,99.0,$99 a year,USD,5.0,2,0,0,0,0,100,0.0,,,https://antlii.gumroad.com/l/antlii-tools-access?layout=discover&recommended_by=search
Unknown,Nico Mueckay,design,design,5.0,$5,USD,5.0,24,0,0,0,0,100,0.0,987,4935.0,https://nicomueckay.gumroad.com/l/abstract-full-wallpaper-set?layout=discover&recommended_by=search
Unknown,AllThingsTemplateSG,design,design,29.99,SGD$29.99+,SGD,,0,0,0,0,0,0,0.0,303,9086.97,https://allthingstemplate.gumroad.com/l/ultimatebundle?layout=discover&recommended_by=search
Unknown,The Digital Minimalist,design,design,14.0,$14,USD,4.8,13,0,0,8,8,84,123.08,,,https://digitalminimalist.gumroad.com/l/rygmo?layout=discover&recommended_by=search
Unknown,Mobilitylabs.ai,design,design,127.0,$127,USD,,0,0,0,0,0,0,0.0,,,https://mobilitylabs.gumroad.com/l/fuzfw?layout=discover&recommended_by=search
Unknown,Slide Showcase,design,design,2.54,£2 a month,GBP,4.5,11,0,18,0,0,82,163.64,,,https://slideshowcase.gumroad.com/l/ResearchNewsletter?layout=discover&recommended_by=search
Unknown,Lokki,design,design,12.0,$12+,USD,4.2,5,20,0,0,0,80,0.0,,,https://bylokki.gumroad.com/l/clear?layout=discover&recommended_by=search
Unknown,Ansel,design,design,64.9,€59+,EUR,,0,0,0,0,0,0,0.0,,,https://anselarchive.gumroad.com/l/creativos?layout=discover&recommended_by=search
Unknown,Lokki,design,design,12.0,$12+,USD,4.7,17,6,0,0,6,88,35.29,,,https://bylokki.gumroad.com/l/liquid-glass?layout=discover&recommended_by=search
Unknown,The Master Slides,design,design,50.0,$50,USD,5.0,1,0,0,0,0,100,0.0,,,https://themasterslides.gumroad.com/l/izedm?layout=discover&recommended_by=search
Unknown,The Master Slides,design,design,50.0,$50,USD,4.5,24,8,4,0,9,79,54.17,,,https://themasterslides.gumroad.com/l/knqowj?layout=discover&recommended_by=search
Unknown,gfxcomet,design,design,99.0,$99,USD,,0,0,0,0,0,0,0.0,337,33363.0,https://gfxcomet.gumroad.com/l/unlimited?layout=discover&recommended_by=search
Unknown,The Master Slides,design,design,50.0,$50,USD,,0,0,0,15,0,0,0.0,,,https://themasterslides.gumroad.com/l/zqlmry?layout=discover&recommended_by=search
Unknown,99Porciento,design,design,13.8,$13.80,USD,4.0,1,0,0,0,100,0,10000.0,212,2925.6,https://99porcientoarq.gumroad.com/l/curtainwalls?layout=discover&recommended_by=search
Unknown,archfloyd,design,design,9.9,A$15,AUD,4.4,53,13,0,2,6,79,15.09,5286,52331.4,https://archfloyd.gumroad.com/l/archfloyd?layout=discover&recommended_by=search
Unknown,99Porciento,design,design,13.8,$13.80,USD,,0,0,0,0,0,0,0.0,207,2856.6,https://99porcientoarq.gumroad.com/l/kjmouvv?layout=discover&recommended_by=search
Unknown,Myicons✨,design,design,135.0,$135,USD,4.9,207,1,0,0,3,96,1.45,,,https://lineicons.gumroad.com/l/myicons?layout=discover&recommended_by=search
Unknown,Fay Creates,design,design,5.0,$5+,USD,5.0,4,0,0,0,0,100,0.0,353,1765.0,https://faycreates.gumroad.com/l/SweetBlueThemeWebsite?layout=discover&recommended_by=search
Unknown,Figterate,design,design,49.0,$49,USD,3.4,10,40,0,0,0,60,0.0,,,https://figterate.gumroad.com/l/FigmaPlugin-VariablesPro?layout=discover&recommended_by=search
Unknown,Anna Hickman,design,design,179.0,$179,USD,5.0,1,0,0,0,0,100,0.0,,,https://cedabranding.gumroad.com/l/web-design-bundle?layout=discover&recommended_by=search
Unknown,Ellie-Jean | Body & Style,design,design,62.23,£49,GBP,3.7,18,5,17,28,6,44,283.33,,,https://bodyandstyle.gumroad.com/l/features-analysis?layout=discover&recommended_by=search
Unknown,Abdelwahab Muhammed,design,design,29.0,$29 a year,USD,4.9,7,0,0,0,14,86,200.0,,,https://abdelwahabmo.gumroad.com/l/rtl-layout-plugin?layout=discover&recommended_by=search
Unknown,Luis Furushio,design,design,40.0,$40,USD,5.0,234,0,0,1,2,97,1.28,10805,432200.0,https://luisfurushio.gumroad.com/l/bgfjk?layout=discover&recommended_by=search
Unknown,The Master Slides,design,design,50.0,$50,USD,4.4,29,7,3,4,10,76,58.62,,,https://themasterslides.gumroad.com/l/dyngpv?layout=discover&recommended_by=search
Unknown,Unknown,design,design,0.0,Free,USD,,0,0,0,0,0,0,0.0,,,https://garriefisher.gumroad.com/wishlists/free-resources-god-bless-327242867?layout=discover&recommended_by=discover_wishlist
Unknown,Unknown,design,design,0.0,Free,USD,,0,0,0,0,0,0,0.0,,,https://cookieo3o.gumroad.com/wishlists/freeee-881992819?layout=discover&recommended_by=discover_wishlist
Unknown,Unknown,design,design,0.0,Free,USD,,0,0,0,0,0,0,0.0,,,https://quinnlan.gumroad.com/wishlists/free-assets-avatars-2-0-24069235?layout=discover&recommended_by=discover_wishlist
Unknown,Unknown,design,design,0.0,Free,USD,,0,0,0,0,0,0,0.0,,,https://rockingpossum.gumroad.com/wishlists/graphic-design-wishlist-254485619?layout=discover&recommended_by=discover_wishlist
